person_id,inscribed_name,source_identifier
P0001,Bartholomäus Bauer,F0113
P0001,Bartel Bauer,F0113
P0001,Kondañño,F0113
P0002,Franz Josef Bauer,F0114
P0002,Novize und Mönch unter dem Namen Vimalo,F0114
P0003,Victor Stomps aus Finnentrop,F0115
P0003,Mahânâmo,F0115
P0004,Ludwig Stolz aus Elberfeld,F0116
P0004,Vappo,F0116
P0005,Ludwig Ankenbrand aus Nürnberg,F0117
P0006,Friedrich Zimmermann,F0118
P0006,Subhadra Bhikshu,F0118
P0007,Dr. HANS MUCH,F0119
P0008,Max HOPPE,F0120
P0008,Anagārika Dhammapāla,F0120
P0009,Dr. KARL SEIDENSTÜCKER,F0121
P0009,Girimananda,F0121
P0010,Dr. KARL SEIDENSTÜCKER,F0122
P0010,Girimananda,F0122
P0011,NYĀNAPONIKA,F0123
P0011,Siegmund Feniger,F0123
P0012,NYĀNATILOKA,F0124
P0012,Anton W. F. Gueth,F0124
P0013,NYĀNAMALITO,F0125
P0013,Malte Schoenfeldt,F0125
P0014,NYĀNATILOKA,F0126
P0014,Anton W. F. Gueth (mitte),F0126
P0015,NYĀNAMALITO,F0126
P0015,Malte Schoenfeldt (links),F0126
P0016,NYĀNAPONIKA,F0126
P0016,Siegmund Feniger (rechts),F0126
P0017,MAYA KELLER-GRIMM,F0127
P0018,KARL EUGEN NEUMANN,F0128
P0019,Dr. HANS MUCH,F0129
P0020,NYĀNATILOKA,F0130
P0020,Anton W. F. Gueth,F0130
P0021,NYANASUMANA,F0131
P0021,Olivier MAILLEBUAU,F0131
P0022,SADDHANANDA,F0131
P0022,ANURUDDHA,F0131
P0022,K. HEMARATNE,F0131
P0023,DHAMMAJIVA,F0131
P0023,KIU AH WANG,F0131
P0024,VAPPA,F0131
P0024,Pieter PRINS,F0131
P0025,PIYARATANA,F0132
P0025,AK JAYATILLEKE,F0132
P0026,NYĀṆATISSA,F0132
P0026,NYANATISSA (!),F0132
P0027,DHAMMASANTA,F0132
P0027,Manfred FATH,F0132
P0028,NYĀṆASANTA,F0132
P0028,Dietfried REGULA,F0132
P0029,NYĀṆĀNANDA,F0132
P0030,NYĀṆASUMANA,F0132
P0030,Olivier MAILLEBUAU,F0132
P0031,Friedrich Zimmermann,F0133
P0031,Subhadra Bhikshu,F0133
P0032,PIYARATANA,F0134
P0032,AK JAYATILLEKE,F0134
P0033,NYĀṆATISSA,F0134
P0033,NYANATISSA (!),F0134
P0034,DHAMMASANTA,F0134
P0034,Manfred FATH,F0134
P0035,NYĀṆASANTA,F0134
P0035,Dietfried REGULA,F0134
P0036,NYĀṆĀNANDA,F0134
P0037,NYĀṆASUMANA,F0134
P0037,Olivier MAILLEBUAU,F0134
P0038,SADDHANANDA,F0134
P0038,ANURUDDHA,F0134
P0038,K. HEMARATNE,F0134
P0039,DHAMMAJIVA,F0134
P0039,KIU AH WANG,F0134
P0040,VAPPA,F0134
P0040,Pieter PRINS,F0134
P0041,NYĀṆADHIRA Bhikkhu,F0135
P0041,Frederic HENRY,F0135
P0042,PIYARATANA,F0136
P0042,A.K. JAYATILLEKE,F0136
P0043,GNĀṆAJOTHI,F0136
P0044,AMATASIRI,F0136
P0044,Robert SCHUJMER,F0136
P0045,NYĀṆATISSA,F0136
P0045,NYANATISSA (!),F0136
P0046,NYĀṆASANTA,F0136
P0046,Dietfried REGULA,F0136
P0047,NYĀṆASUMANA,F0136
