person_id,inscribed_name_1,source_identifier_1,inscribed_name_2,source_identifier_2,inscribed_name_3,source_identifier_3,inscribed_name_4,source_identifier_4
P0100,NYĀNAPONIKA,F0161,Siegmund Feniger,F0161
P0101,NYĀNAPONIKA,F0162,Siegmund Feniger,F0162
P0102,Siegmund Feniger,F0164
P0103,Nyānaponika,F0165
P0104,Nyanaponika Mahathera,F0167
P0105,Kheminda Mahathera,F0168
P0106,Nyanaponika Mahathera,F0169
P0107,Nyanaponika Mahathera,F0170
P0108,Nyanaponika Mahathera,F0171
P0109,Nyanaponika Mahathera,F0248
P0110,Richard Abeyasekera,F0173
P0111,RICHARD ABEYASEKERA,F0174
P0112,VIMALO,F0176,Franz. Joseph Bauer,F0176
P0113,KONDAÑÑO,F0176,Bartel Bauer,F0176
P0114,VIMALO,F0178,Franz. Joseph Bauer,F0178
P0115,KONDAÑÑO,F0178,Bartel Bauer,F0178
P0116,VIMALO,F0179,Franz. Joseph Bauer,F0179
P0117,KONDAÑÑO,F0179,Bartel Bauer,F0179
P0118,VAPPO Thero,F0180,Ludwig Stolz,F0180
P0119,Georg,F0180
P0120,,F0180
P0121,Prof. SEO Kyung BO,F0228,徐京保,F0228
P0122,Prof. SEO Kyung BO,F0229,徐京保,F0229
P0123,Prof. SEO Kyung BO,F0230,徐京保,F0230
P0124,Maungg Maungg Hwin,F0237
P0125,U Kyaw Hla,F0237
P0126,Lama Anagarika Govina,F0237,Ernst Lothar Hoffmann,F0237
P0127,Nyānatiloka,F0237,Anton W.F. Gueth,F0237
P0128,Adinavaysa Thera,F0237
P0129,Nyānaloka,F0238,"Rajasinghe, Singh",F0238
P0130,Nyānatiloka,F0238,Anton W. F. Gueth,F0238
P0131,Nyānasumedha,F0238
P0132,Nyānaponika,F0238,Siegmund Feniger,F0238
P0133,Nyānatiloka,F0239,Anton W. F. Gueth,F0239
P0134,ANURUDDHA,F0240,K. HEMARATNE,F0240
P0135,NYĀṆĀLOKA,F0240,Thierry VALLOI,F0240
P0136,MAL DHAMMAJIVA,F0240,KIU AH WANG,F0240
P0137,VAPPA,F0240,Pieter PRINS,F0240
P0138,DHAMMASANTA,F0240,Manfred FATH: NYĀṆASANTA,F0240,Dietfried REGULA,F0240
P0139,PIYARATANA,F0240,A.K. JAYATILLEKE,F0240
P0140,DHAMMARATANA,F0240,Thomas Schreiber,F0240
P0141,NYĀṆASUMANA,F0240,Olivier MAILLEBUAU,F0240
P0142,NYĀNAPONIKA,F0241,Siegmund Feniger,F0241
P0143,VAPPO,F0241,Ludwig Stolz,F0241
P0144,Nyānakhetto,F0241,Peter Schoenfeldt,F0241,Swami Gauribala,F0241,NYANAKHETTO,F0241
P0145,NYANAPIYA,F0241,Julius Pistor,F0241
P0146,NYANAMALITO,F0241,Malte Schoenfeldt,F0241
P0147,Dr. Wolfgang Schumacher,F0242
P0148,Dr. Wolfgang Schumacher,F0243
P0149,Dr. med. Wolfgang Schumacher,F0244
P0150,Ilse,F0244
P0151,Dr. Wolf gang Schumacher,F0245
P0152,Ludwig STOLZ,F0246,VAPPO,F0246
P0153,test person shown's inscribed name,test identifier
