inscribed_date,source_identifier
7./5. 1952,"Source(identifier='F0193', signature='F02-JM002-AM001-F0193')"
Augusto 1948,"Source(identifier='F0198', signature='F02-JM002-AM001-F0198')"
4.8.46,"Source(identifier='F0199', signature='F02-JM002-AM001-F0199')"
15./1.1932,"Source(identifier='F0200', signature='F02-JM002-AM001-F0200')"
2.1.1949,"Source(identifier='F0201', signature='F02-JM002-AM001-F0201')"
1941,"Source(identifier='F0203', signature='F02-JM002-AM001-F0203')"
8./10.1899,"Source(identifier='F0205', signature='F02-JM002-AM001-F0205')"
31/XII/59,"Source(identifier='F0208', signature='F02-JM002-AM003-F0208')"
24.8.57,"Source(identifier='F0209', signature='F02-JM002-AM003-F0209')"
6.6.64,"Source(identifier='F0216', signature='F02-JM002-AM003-F0216')"
"{'@type': 'http://www.w3.org/2001/XMLSchema#string', '@value': 'test date'}","Source(identifier='test identifier', signature='test source')"
