person_id,inscribed_name,source_identifier
P0078,NYĀṆATISSA,F0132
P0078,NYANATISSA (!),F0132
P0079,DHAMMASANTA,F0132
P0079,Manfred FATH,F0132
P0080,NYĀṆASANTA,F0132
P0080,Dietfried REGULA,F0132
P0081,NYĀṆĀNANDA,F0132
P0082,NYĀṆASUMANA,F0132
P0082,Olivier MAILLEBUAU,F0132
P0083,Friedrich Zimmermann,F0133
P0083,Subhadra Bhikshu,F0133
P0084,PIYARATANA,F0134
P0084,AK JAYATILLEKE,F0134
P0085,NYĀṆATISSA,F0134
P0085,NYANATISSA (!),F0134
P0086,DHAMMASANTA,F0134
P0086,Manfred FATH,F0134
P0087,NYĀṆASANTA,F0134
P0087,Dietfried REGULA,F0134
P0088,NYĀṆĀNANDA,F0134
P0089,NYĀṆASUMANA,F0134
P0089,Olivier MAILLEBUAU,F0134
P0090,SADDHANANDA,F0134
P0090,ANURUDDHA,F0134
P0090,K. HEMARATNE,F0134
P0091,DHAMMAJIVA,F0134
P0091,KIU AH WANG,F0134
P0092,VAPPA,F0134
P0092,Pieter PRINS,F0134
P0093,NYĀṆADHIRA Bhikkhu,F0135
P0093,Frederic HENRY,F0135
P0094,PIYARATANA,F0136
P0094,A.K. JAYATILLEKE,F0136
P0095,GNĀṆAJOTHI,F0136
P0096,AMATASIRI,F0136
P0096,Robert SCHUJMER,F0136
P0097,NYĀṆATISSA,F0136
P0097,NYANATISSA (!),F0136
P0098,NYĀṆASANTA,F0136
P0098,Dietfried REGULA,F0136
P0099,NYĀṆASUMANA,F0136
P0099,Olivier MAILLEBUAU,F0136
P0100,PIYARATANA,F0137
P0100,A.K. JAYATILLEKE,F0137
P0101,GNĀṆAJOTHI,F0137
P0102,AMATASIRI,F0137
P0102,Robert SCHUJMER,F0137
P0103,NYĀṆATISSA,F0137
P0103,NYANATISSA (!),F0137
P0104,Bhikkhu ÑĀNAVIRA,F0138
P0104,Harold Eward Musson,F0138
P0105,PIYARATANA Mahāthera,F0139
P0105,A.K. Jayatilleke,F0139
