LocationShown,source_identifier
Birma,"Source(identifier='F0228', signature='F02-JM002-AM004-F0228')"
Birma,"Source(identifier='F0229', signature='F02-JM002-AM004-F0229')"
Birma,"Source(identifier='F0230', signature='F02-JM002-AM004-F0230')"
Birma,"Source(identifier='FB0145', signature='F02-JM002-AM004-FB0145')"
test location shown,"Source(identifier='test identifier', signature='test source')"
